idx,ra,dec,redshift,type,plate,mjd,fiberid,recon_error,error_sigma
29307,173.61189,27.801,1.5735,qso,5812,59067,786,0.6870606,5.10357
3941,268.57471,66.44113,2.6761,qso,5333,56994,151,0.6848561,5.085922
5261,183.3067,3.16715,2.9653,qso,4009,58092,544,0.6847965,5.0854445
39707,319.27485,7.10136,2.9575,qso,8641,57215,456,0.681511,5.059141
24336,52.67336,-1.74457,2.0717,qso,8992,57727,594,0.6801345,5.0481215
34578,283.02474,5.98817,1.9969,qso,7701,56941,577,0.6793057,5.0414863
14684,205.09033,50.38521,1.3542,qso,6497,55183,726,0.6792044,5.0406756
35220,217.75604,31.90192,2.1212,qso,7730,57072,270,0.67899895,5.0390306
10569,40.064,-4.93151,2.1783,qso,10648,56829,586,0.67874956,5.037034
46331,189.4155,52.04135,2.7599,qso,6540,58092,946,0.6781966,5.0326076
39498,237.95468,45.58097,1.9954,qso,9645,56859,232,0.67528105,5.0092664
29076,276.31516,60.12239,0.4894,qso,11403,58006,652,0.6729127,4.990306
13920,235.1596,63.80129,2.3491,qso,3988,59397,737,0.6722974,4.98538
35225,204.07431,-8.08546,2.8211,qso,7679,59472,487,0.672085,4.9836793
23900,321.752,45.61049,1.3392,qso,5195,56330,414,0.6719873,4.9828973
45025,72.58425,27.72561,0.9665,qso,11344,55760,663,0.6719522,4.9826164
39525,50.12707,16.21904,1.2344,qso,10917,56693,152,0.6711724,4.976373
20553,119.55992,30.68212,2.4597,qso,11513,56200,93,0.6710987,4.9757833
33515,325.93877,35.32051,2.4975,qso,8361,58539,844,0.67096716,4.9747305
13180,292.66966,45.2608,2.8979,qso,5628,58798,58,0.6703635,4.9698977
25288,53.66997,24.75572,3.1107,qso,10929,55119,978,0.6689571,4.9586387
39779,278.88626,-2.76195,0.9891,qso,5592,58962,561,0.66892403,4.9583735
5048,134.31545,41.67343,3.2957,qso,4962,55252,722,0.66882807,4.9576054
5426,272.30999,51.48048,2.1754,qso,4127,57263,995,0.6687668,4.9571147
13480,211.56564,69.33759,1.8464,qso,5434,56008,685,0.6677645,4.9490905
45557,95.57592,21.12964,2.0674,qso,5650,55891,8,0.6659495,4.934561
37695,138.0959,4.67275,3.2011,qso,4219,58394,604,0.6651322,4.9280176
33539,290.52557,48.37349,3.1771,qso,11135,57991,931,0.66451347,4.9230638
5427,171.18446,-5.32799,1.6847,qso,9371,56353,532,0.66323256,4.9128094
28622,45.65975,48.56377,0.3356,qso,10944,58274,832,0.66312736,4.9119673
22090,76.24637,14.6778,3.0297,qso,10571,57761,232,0.6610481,4.8953214
15549,244.45984,14.68195,2.0887,qso,7122,59317,734,0.6593541,4.881759
9175,30.45044,47.30576,0.8563,qso,10606,55432,992,0.6583826,4.873982
33037,73.7195,17.11666,3.1859,qso,3805,59445,724,0.6575254,4.8671193
34915,215.88094,9.27743,2.4725,qso,8986,55778,397,0.65609473,4.8556657
23016,148.10475,12.61371,2.1361,qso,4000,57516,652,0.6557244,4.852701
41295,67.01992,-5.70111,2.3131,anomaly,11069,57835,209,0.6551929,4.848446
47995,13.51173,27.51239,2.0377,qso,11157,57657,315,0.6545173,4.843037
36954,134.9826,18.58231,2.2755,qso,10828,58854,972,0.65433156,4.8415504
47335,244.6618,-1.88777,0.6338,qso,5959,58253,303,0.6542099,4.8405766
38044,44.03443,35.55183,2.1478,qso,4699,57323,116,0.6535749,4.8354926
15540,345.09703,69.44383,2.2729,qso,9316,57107,363,0.6535734,4.8354807
35864,216.08231,11.89309,1.0743,qso,10627,55541,267,0.65355104,4.835302
30567,18.37797,50.62154,1.6247,qso,10800,55450,829,0.65335953,4.8337684
24322,104.45277,49.69011,2.1444,qso,5128,56641,417,0.65150654,4.818934
24007,154.74079,55.16746,2.7156,qso,11216,55946,512,0.65016294,4.8081775
21953,46.80897,-5.47269,3.3376,qso,9773,59354,574,0.64933825,4.801575
6887,83.09396,7.80255,2.4636,qso,7342,59038,374,0.64916724,4.800206
17809,359.11597,36.21212,2.7701,qso,11295,58442,251,0.64848036,4.7947073
45000,29.20929,14.69812,0.1654,galaxy,9918,57938,187,0.6478966,4.790034
20147,257.08213,59.20371,1.6322,anomaly,10877,57961,159,0.6470353,4.7831388
11391,336.73677,41.57234,2.4554,qso,8618,56235,936,0.6458868,4.773944
15734,48.95557,25.14714,2.8075,qso,3823,59248,97,0.6444317,4.762295
5591,116.00876,62.49526,2.834,qso,10100,56421,129,0.6430764,4.751445
35661,199.69755,55.84298,2.413,qso,8172,56601,96,0.6428,4.749232
8594,289.10544,63.43566,3.2014,qso,5607,55536,514,0.6425712,4.7474003
26147,214.11627,16.83198,2.0508,qso,7799,56629,339,0.64130104,4.7372317
11186,44.79015,54.78762,2.8662,qso,11662,59207,803,0.6405155,4.7309427
39246,231.49636,65.17895,0.7415,qso,10115,58345,501,0.6394447,4.72237
1935,131.27686,21.95666,1.6289,qso,4625,57474,70,0.63853985,4.7151265
34284,172.29066,5.03612,0.665,anomaly,7028,57713,7,0.63752055,4.706966
47281,36.66503,30.20374,3.4836,qso,10717,59133,446,0.63705343,4.7032266
35770,200.26923,24.93831,0.512,galaxy,7686,59144,465,0.6364495,4.6983914
14805,206.02964,33.95675,2.8705,qso,9135,57930,33,0.636288,4.6970983
31482,86.01817,55.11062,1.5572,qso,5786,55226,475,0.635204,4.6884203
13516,17.67377,-3.67243,2.1311,qso,5196,58948,779,0.6342824,4.681042
43088,64.22039,22.98758,3.0791,qso,3689,57209,363,0.63407975,4.67942
16329,88.35203,38.63007,2.8593,qso,7069,58854,371,0.63402736,4.6790004
26452,83.65771,50.12912,2.2593,qso,10984,56590,861,0.6333561,4.6736264
42047,318.5863,11.43338,1.6078,qso,6647,57176,382,0.63176066,4.660854
26169,287.76019,25.08306,2.2635,qso,6062,56058,542,0.6316958,4.6603346
7936,81.89698,30.75455,2.9612,qso,9769,58923,263,0.63167864,4.6601973
48413,294.65713,14.64494,2.3235,qso,4726,55157,581,0.6307659,4.65289
21050,274.24288,11.43574,1.1042,qso,10438,55147,963,0.62949246,4.6426954
32131,95.3828,19.41306,1.1297,qso,7833,59322,212,0.6294915,4.642688
47379,235.13504,3.17619,0.3953,qso,7895,55891,267,0.6287764,4.6369624
13118,177.66307,-5.42696,1.3483,qso,4495,56216,3,0.62855446,4.635186
48910,287.10755,23.38166,0.3752,qso,7660,59362,506,0.62846094,4.634437
1816,155.38186,25.6237,1.1034,qso,7940,58788,664,0.6282234,4.632536
20362,135.08503,54.15867,2.8458,qso,7730,56996,577,0.6268416,4.6214733
489,262.02314,15.68646,2.8366,qso,8239,57878,478,0.62645715,4.6183953
49720,229.82522,43.62781,0.651,qso,10533,57353,73,0.62616336,4.6160436
10147,174.327,23.99487,2.0355,qso,4892,55812,49,0.62613565,4.615822
18750,22.77608,5.93542,1.9334,qso,6699,58477,931,0.6259303,4.6141777
22946,221.23724,8.27776,2.2523,qso,7348,56753,849,0.6253984,4.6099195
12719,359.21818,-9.6811,3.186,qso,11579,55454,390,0.62457997,4.6033673
28797,74.2032,5.35646,2.6261,qso,11640,58916,656,0.62453943,4.6030426
31728,248.73592,13.5149,0.7064,qso,9299,58373,252,0.6242361,4.6006145
33397,176.28765,20.1655,1.9257,qso,9722,57572,391,0.6233741,4.5937133
22927,139.61486,42.85809,1.6829,qso,10249,58283,354,0.62286097,4.5896053
21300,261.93751,8.27259,3.3894,qso,9526,57639,908,0.6221289,4.5837445
20359,89.20291,40.25036,1.4864,qso,10130,56518,943,0.6209058,4.573953
47178,17.10232,4.04389,2.2002,qso,9150,57833,670,0.6208637,4.5736156
10158,208.36207,56.05902,1.9767,qso,10288,56112,665,0.6196352,4.5637813
31865,303.15244,18.90011,1.495,qso,5692,58516,508,0.61949676,4.5626726
4445,118.10575,32.18284,2.3316,qso,3629,55532,515,0.61758655,4.54738
45090,30.81131,27.26943,2.9024,qso,4121,55650,346,0.6169981,4.542669
14151,341.52571,66.44791,1.4658,qso,4057,56438,914,0.6162067,4.536333
11711,108.53108,7.67436,3.4099,qso,6341,56491,960,0.6159747,4.5344763
21642,36.71518,20.86109,2.2909,qso,10637,59410,232,0.6152516,4.528687
28903,237.01338,6.36098,0.5198,qso,10847,56800,599,0.61477625,4.5248814
41968,15.43312,57.99353,2.1468,qso,5004,55319,508,0.6146715,4.524043
46076,249.11176,35.37017,2.5146,qso,10869,57456,502,0.6142098,4.520346
26373,236.37752,12.20709,2.3376,qso,7069,58461,526,0.6137915,4.516998
29831,102.59224,23.62264,2.306,qso,5272,55909,483,0.6095625,4.483142
13949,331.1833,29.75545,1.8426,qso,8290,55634,358,0.6091835,4.4801073
8042,181.87761,16.61493,1.5773,qso,9643,58100,593,0.6085603,4.4751186
44527,180.78008,44.3064,2.0499,qso,7121,55671,127,0.60768074,4.4680767
10864,37.8445,14.96022,3.442,qso,7743,57366,908,0.60763496,4.46771
23858,109.2374,-8.73013,2.876,qso,5339,55720,976,0.6071574,4.463887
49665,138.43012,-8.67019,2.2665,qso,6433,56511,592,0.6068114,4.4611173
13683,328.82658,52.46441,1.0999,qso,4440,55969,908,0.6066567,4.4598784
17044,238.61687,57.86301,0.5376,qso,5158,56378,335,0.6065441,4.4589767
30454,158.44491,35.06034,2.9704,qso,6169,59456,753,0.6056237,4.4516087
5304,158.52839,50.24831,2.4437,qso,10677,55880,637,0.60543144,4.4500694
16852,126.17284,11.95347,1.6704,qso,9298,55352,422,0.60477394,4.4448056
25473,293.29039,6.50192,2.6181,qso,11879,56822,67,0.6015415,4.4189277
41792,359.97279,63.03149,0.6486,qso,6500,58775,932,0.6004621,4.410286
31642,160.38707,6.93435,2.0483,qso,11000,56663,545,0.5979661,4.3903036
35323,133.04112,64.00822,0.4884,qso,11385,59009,178,0.5973158,4.385098
43610,233.01496,60.31476,2.5916,qso,4022,55424,510,0.5973019,4.3849864
10426,59.29307,-6.79467,0.7113,qso,5261,55521,690,0.59729236,4.38491
15403,222.53291,37.43528,1.1893,qso,6504,57219,928,0.5968339,4.38124
36020,24.58143,44.80378,3.28,qso,6366,57079,294,0.59647703,4.3783827
46772,347.56763,35.02421,1.9422,qso,5738,58789,581,0.59596103,4.374252
43477,176.67863,41.05167,3.4832,qso,11196,57227,553,0.59569556,4.3721266
44467,38.49085,64.32608,1.0513,qso,4580,57295,266,0.5948731,4.365542
16260,130.68748,0.47923,0.1356,galaxy,7485,56548,944,0.594449,4.362147
16407,318.49577,64.01039,1.3989,qso,11351,57306,419,0.5939805,4.3583965
47306,147.71945,47.38101,2.3494,qso,5369,58126,220,0.59280807,4.34901
9430,300.28715,29.70319,1.9357,qso,4783,58237,311,0.59274405,4.348498
34470,15.15333,54.64064,1.5358,qso,8017,58495,358,0.59240663,4.3457966
32649,140.71505,11.65653,1.0214,qso,5760,55811,713,0.592053,4.342965
1314,309.76967,60.85906,2.7667,qso,7698,59303,422,0.5908076,4.332995
42574,132.75187,49.10459,3.1721,qso,9598,57004,345,0.5907121,4.33223
29327,168.68807,67.60369,1.0018,qso,7604,55808,798,0.5904238,4.3299227
25566,77.63199,65.49211,3.0124,qso,3650,55474,321,0.59041226,4.32983
7057,15.50324,5.99872,1.172,qso,5783,57765,506,0.58989197,4.3256645
8365,183.90662,9.84453,0.5126,qso,10260,55997,968,0.5883503,4.3133225
15825,67.54493,22.62596,1.8413,qso,3662,56829,552,0.5879675,4.310258
20947,237.59682,62.11135,1.0252,qso,9608,58106,36,0.5870977,4.3032947
7743,20.17623,17.39166,0.0758,qso,6330,59155,502,0.5864273,4.2979274
14527,72.73492,44.76189,2.0856,qso,10543,56550,42,0.5844266,4.2819104
39614,234.32147,23.36814,3.0643,qso,7926,57382,449,0.58403224,4.2787533
39029,297.24696,12.99321,1.0111,qso,10634,58350,361,0.5831724,4.2718697
10521,340.79674,59.18854,1.934,qso,8881,56751,172,0.5810979,4.255262
34156,72.51696,64.20003,0.1489,qso,5505,58543,758,0.5793301,4.2411094
40583,308.76085,31.8064,1.8409,qso,10362,58226,198,0.5783097,4.23294
33418,179.77692,15.13933,2.6486,qso,8321,58580,570,0.5782554,4.232506
2996,53.00406,-2.53908,2.0542,qso,3918,55789,314,0.5780807,4.231107
42939,216.84247,40.22972,1.0657,qso,9194,55857,204,0.57772183,4.228234
36439,34.14669,12.64225,0.7082,qso,7451,58398,411,0.577532,4.226714
39774,119.97117,26.25966,1.5379,qso,6021,59297,991,0.5771389,4.223567
13302,14.77285,0.24333,1.2074,qso,5316,57090,682,0.5760427,4.2147913
